,Date,Ethereum,Tron,BSC,Arbitrum,Solana,Base,Avalanche,Polygon,Optimism,Near,TON,Sui,Mantle,Fantom,Celo,Blast,Noble,Aptos,Kava,Scroll,Stellar,Gnosis,Algorand,Omni,StarkNet,EOS,PulseChain,zkSync Era,Fraxtal,Osmosis,Ronin,Tezos,Klaytn,Linea,Heco,Mixin,Metis,Injective,Cronos,KCC,Manta,MultiversX,Rootstock,Canto,Cardano,re.al,Moonriver,OKExChain,zkSync Lite,Waves,Hedera,smartBCH,Kujira,Harmony,Immutable zkEVM,Bitlayer,Moonbeam,Liquidchain,Mode,Aurora,IoTeX,Astar,Taiko,Loopring,Icon,NEO,ICP,Karura,Zilliqa,Bifrost Network,XDC,Polygon zkEVM,Secret,Boba,Meter,DFK,EthereumPoW,Stacks,Wanchain,Agoric,ThunderCore,Fuse,Telos,Arbitrum Nova,Bittorrent,Oasis,Kardia,Dogechain,Aztec,Milkomeda C1,Ergo,SXnetwork,Elastos,Statemine,Concordium,Syscoin,TomoChain,Evmos,EthereumClassic,Q,Theta,Shiden,Conflux,Archway,Velas,REINetwork,Everscale,Crab,Havah,X Layer,Terra Classic,DefiChain,Ontology,Kadena,Flow,Acala,Total,Month,Year,Day
10,2022-05-22,91588632293.0,33977773211.0,12863669747.0,1086413596.0,6038866280.0,0.0,3465933291.0,2433470489.0,268772004.0,0.0,0.0,0.0,0.0,1060537828.0,37764253.0,0.0,0.0,0.0,0.0,0.0,174156884.0,139537926.0,425357143.0,886764288,0.0,78164475.0,0.0,0.0,0.0,0.0,32943853.0,0.0,0.0,0.0,1042731734.0,0.0,60128320.0,0.0,0.0,75673070.0,0.0,0.0,11868830.0,0.0,0.0,0.0,122760953.0,962106888.0,0.0,778085351.0,10291760.0,0.0,0.0,51828470.0,0.0,0.0,101668997.0,25683607,0.0,333651798.0,4833504.0,96746473.0,0.0,34009437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42120812.0,2031865.0,0.0,0.0,0.0,0.0,0.0,0.0,3872086.0,2164121.0,0.0,6274631.0,93439522.0,1148176.0,0.0,1452073.0,0.0,0.0,0.0,1713109.0,489468.0,0.0,3615502.0,433763.0,13240177.0,0.0,0.0,370495.0,78523.0,0.0,0.0,370916.0,4522.0,0.0,162550.0,0.0,0.0,569456775.0,0.0,0.0,0.0,14071826.0,0.0,159027337665.0,5,2022,22
11,2022-05-23,91625584885.0,33984739334.0,12880922758.0,1087633678.0,6042384836.0,0.0,3452499765.0,2433679309.0,270276923.0,0.0,0.0,0.0,0.0,1070262567.0,38166088.0,0.0,0.0,0.0,0.0,0.0,174165572.0,138587340.0,425409732.0,886940434,0.0,78180002.0,0.0,0.0,0.0,0.0,32955156.0,0.0,0.0,0.0,1047679087.0,0.0,59908283.0,0.0,0.0,75667549.0,0.0,0.0,11805514.0,0.0,0.0,0.0,123694092.0,962297309.0,0.0,778315531.0,10295291.0,0.0,0.0,51270021.0,0.0,0.0,101952662.0,25688708,0.0,333103728.0,4974420.0,95878163.0,0.0,34915948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42161462.0,2031792.0,0.0,0.0,0.0,0.0,0.0,0.0,3875473.0,2188337.0,0.0,6369415.0,94658382.0,1142871.0,0.0,1446270.0,0.0,0.0,0.0,1716375.0,489565.0,0.0,3615701.0,433849.0,13153119.0,0.0,0.0,370308.0,78463.0,0.0,0.0,370423.0,4523.0,0.0,162595.0,0.0,0.0,651274890.0,0.0,0.0,0.0,14076654.0,0.0,159179455152.0,5,2022,23
12,2022-05-24,91793487508.0,33955049049.0,12885635380.0,1095556397.0,6065669092.0,0.0,3383663901.0,2436827562.0,274137109.0,0.0,0.0,0.0,0.0,1071592175.0,38080454.0,0.0,0.0,0.0,0.0,0.0,175002771.0,135098668.0,430662557.0,886851660,0.0,78172177.0,0.0,0.0,0.0,0.0,32945781.0,0.0,0.0,0.0,975019928.0,0.0,58863242.0,0.0,0.0,75841996.0,0.0,0.0,11804319.0,0.0,0.0,0.0,123871596.0,962202308.0,0.0,777156716.0,11027339.0,0.0,0.0,50912393.0,0.0,0.0,101403324.0,25686137,0.0,335564769.0,4922507.0,96147077.0,0.0,35806906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42050686.0,2053729.0,0.0,0.0,0.0,0.0,0.0,0.0,3867930.0,2158124.0,0.0,6303108.0,97344187.0,1142787.0,0.0,1461643.0,0.0,0.0,0.0,1714899.0,489516.0,0.0,3457441.0,433806.0,13204183.0,0.0,0.0,351919.0,78506.0,0.0,0.0,382358.0,4523.0,0.0,162562.0,0.0,0.0,643372071.0,0.0,0.0,0.0,14417583.0,0.0,159219114359.0,5,2022,24
13,2022-05-25,91925663271.0,33952924412.0,12918099789.0,1096296768.0,6065983404.0,0.0,3402095666.0,2436026382.0,274091491.0,0.0,0.0,0.0,0.0,1071808012.0,38046836.0,0.0,0.0,0.0,0.0,0.0,174863905.0,128214346.0,428350826.0,886851660,0.0,78172177.0,0.0,0.0,0.0,0.0,32945781.0,0.0,0.0,0.0,975019928.0,0.0,58510869.0,0.0,0.0,75841817.0,0.0,0.0,11807540.0,0.0,0.0,0.0,126069821.0,962199387.0,0.0,775473305.0,10945075.0,0.0,0.0,50892837.0,0.0,0.0,101395197.0,25686137,0.0,334841599.0,4921328.0,95864174.0,0.0,35387181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41433050.0,2042323.0,0.0,0.0,0.0,0.0,0.0,0.0,3869430.0,2158124.0,0.0,6303106.0,97504559.0,1142787.0,0.0,1442143.0,0.0,0.0,0.0,1759315.0,489516.0,0.0,3454723.0,433806.0,13286553.0,0.0,0.0,316590.0,78515.0,0.0,0.0,382616.0,4523.0,0.0,162562.0,0.0,0.0,707546778.0,0.0,0.0,0.0,14340250.0,0.0,159453442190.0,5,2022,25
14,2022-05-26,92062992920.0,33946244144.0,12921068663.0,1098014331.0,6077048470.0,0.0,3352372055.0,2438212799.0,255176008.0,0.0,0.0,0.0,0.0,1071578783.0,38018358.0,0.0,0.0,0.0,0.0,0.0,174981698.0,127910296.0,428102725.0,886839648,0.0,78171118.0,0.0,0.0,0.0,0.0,32944936.0,0.0,0.0,0.0,975006719.0,0.0,58195993.0,0.0,0.0,76839594.0,0.0,0.0,11807257.0,0.0,0.0,0.0,126511641.0,962186247.0,0.0,776127825.0,11076183.0,0.0,0.0,41788570.0,0.0,0.0,101251526.0,25685789,0.0,426065767.0,4917498.0,96078917.0,0.0,35400541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38563377.0,2042257.0,0.0,0.0,0.0,0.0,0.0,0.0,3844123.0,2158075.0,0.0,6249617.0,97418159.0,1142932.0,0.0,1485721.0,0.0,0.0,0.0,1756263.0,489509.0,0.0,3454959.0,433800.0,13289257.0,0.0,0.0,296733.0,78510.0,0.0,0.0,382527.0,4523.0,0.0,162559.0,0.0,0.0,958094161.0,0.0,0.0,0.0,14476416.0,0.0,159864440497.0,5,2022,26
15,2022-05-27,91658367435.0,33903398213.0,12918901908.0,1102628400.0,6083220236.0,0.0,3389176640.0,2412578858.0,262647252.0,0.0,0.0,0.0,0.0,1068045161.0,38107308.0,0.0,0.0,0.0,0.0,0.0,175415815.0,128854461.0,418859604.0,886902021,0.0,78176616.0,0.0,0.0,0.0,0.0,32943238.0,0.0,0.0,0.0,975075016.0,0.0,56747878.0,0.0,0.0,76841377.0,0.0,0.0,11808591.0,0.0,0.0,0.0,127518870.0,962254093.0,0.0,763326103.0,11052437.0,0.0,0.0,41820031.0,0.0,0.0,100868416.0,25687596,0.0,423725656.0,4965214.0,93631615.0,0.0,34347027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38311961.0,2039677.0,0.0,0.0,0.0,0.0,0.0,0.0,3827990.0,2144906.0,0.0,6547231.0,96319036.0,1142850.0,0.0,1462035.0,0.0,0.0,0.0,1733374.0,489544.0,0.0,3452979.0,433830.0,13141042.0,0.0,0.0,314880.0,78568.0,0.0,0.0,383147.0,4523.0,0.0,162559.0,0.0,0.0,467667074.0,0.0,0.0,0.0,14463745.0,0.0,158922014037.0,5,2022,27
16,2022-05-28,92564271233.0,33780900969.0,12913308930.0,1102623971.0,6116372963.0,0.0,3392095880.0,2408336139.0,258849081.0,0.0,0.0,0.0,0.0,1060681833.0,38047458.0,0.0,0.0,0.0,0.0,0.0,176365100.0,130509630.0,418039873.0,886957008,0.0,78181463.0,0.0,0.0,0.0,0.0,32950974.0,0.0,0.0,0.0,975135429.0,0.0,55185774.0,0.0,0.0,76856699.0,0.0,0.0,11809101.0,0.0,0.0,0.0,125570190.0,133044807.0,0.0,758482391.0,11865702.0,0.0,0.0,41752898.0,0.0,0.0,100721748.0,25689188,0.0,407041882.0,4962012.0,86627655.0,0.0,33498440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38206442.0,2042602.0,0.0,0.0,0.0,0.0,0.0,0.0,3827716.0,2145320.0,0.0,7874794.0,95689310.0,1142876.0,0.0,1479460.0,0.0,0.0,0.0,1733226.0,489574.0,0.0,3453267.0,433857.0,13116848.0,0.0,0.0,297386.0,78510.0,0.0,0.0,382903.0,4523.0,0.0,162585.0,0.0,0.0,409778487.0,0.0,0.0,0.0,15288748.0,0.0,158804364855.0,5,2022,28
17,2022-05-29,92723492823.0,33781123520.0,12908114397.0,1102919529.0,6115105159.0,0.0,3392874793.0,2411266814.0,249755086.0,0.0,0.0,0.0,0.0,1063431113.0,38171640.0,0.0,0.0,0.0,0.0,0.0,176333617.0,134388617.0,417620757.0,887010201,0.0,78186151.0,0.0,0.0,0.0,0.0,32945116.0,0.0,0.0,0.0,975184015.0,0.0,54872937.0,0.0,0.0,76855939.0,0.0,0.0,11809712.0,0.0,0.0,0.0,125494918.0,133050619.0,0.0,767386044.0,11863593.0,0.0,0.0,42004694.0,0.0,0.0,99865261.0,25690729,0.0,406446388.0,4956187.0,86022461.0,0.0,33606373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38454600.0,2043201.0,0.0,0.0,0.0,0.0,0.0,0.0,3822695.0,2143869.0,0.0,7688707.0,96653834.0,1142945.0,0.0,1531062.0,0.0,0.0,0.0,1732787.0,489604.0,0.0,3452483.0,433883.0,13158952.0,0.0,0.0,297285.0,78487.0,0.0,0.0,382813.0,4524.0,0.0,162573.0,0.0,0.0,226247307.0,0.0,0.0,0.0,15286030.0,0.0,158783056844.0,5,2022,29
18,2022-05-30,92637497239.0,33796089135.0,12908532220.0,1103418831.0,6141095731.0,0.0,3400444078.0,2411310285.0,250083249.0,0.0,0.0,0.0,0.0,1069911227.0,38116519.0,0.0,0.0,0.0,0.0,0.0,176263262.0,136685950.0,417757280.0,887398622,0.0,78220389.0,0.0,0.0,0.0,0.0,32953919.0,0.0,0.0,0.0,980648171.0,0.0,51881254.0,0.0,0.0,76865974.0,0.0,0.0,11811429.0,0.0,0.0,0.0,127270941.0,48139947.0,0.0,773615855.0,11866763.0,0.0,0.0,42246488.0,0.0,0.0,99758727.0,25701979,0.0,406286295.0,4960970.0,82862971.0,0.0,33704228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38461633.0,2043524.0,0.0,0.0,0.0,0.0,0.0,0.0,3825238.0,2144533.0,0.0,7779024.0,96440383.0,1143445.0,0.0,1530612.0,0.0,0.0,0.0,1733153.0,489818.0,0.0,3462892.0,434073.0,13129645.0,0.0,0.0,297329.0,78484.0,0.0,0.0,382383.0,4526.0,0.0,162602.0,0.0,0.0,274851286.0,0.0,0.0,0.0,15290114.0,0.0,158727084625.0,5,2022,30
19,2022-05-31,92994558616.0,33789389440.0,12907636128.0,1102800396.0,6163873421.0,0.0,3399010052.0,2409030525.0,303836876.0,0.0,0.0,0.0,0.0,1084299439.0,38053795.0,0.0,0.0,0.0,0.0,0.0,174253776.0,144233693.0,414638296.0,887265240,0.0,78208632.0,0.0,0.0,0.0,0.0,32952461.0,0.0,0.0,0.0,1066291580.0,0.0,51642697.0,0.0,0.0,76910037.0,0.0,0.0,11809732.0,0.0,0.0,0.0,128915596.0,48133466.0,0.0,772880642.0,10184452.0,0.0,0.0,41869140.0,0.0,0.0,99855437.0,25698116,0.0,404378995.0,4962401.0,76425381.0,0.0,35139559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38446298.0,2045618.0,0.0,0.0,0.0,0.0,0.0,0.0,3817764.0,2148683.0,0.0,7333701.0,97784128.0,1143373.0,0.0,1420149.0,0.0,0.0,0.0,2567277.0,489744.0,0.0,2631119.0,433682.0,13215846.0,0.0,0.0,307200.0,78380.0,0.0,0.0,382417.0,4525.0,0.0,162587.0,0.0,0.0,219587388.0,0.0,0.0,0.0,13629359.0,0.0,159186767255.0,5,2022,31
